EMPLID,EMPL_RCD,EFFDT,EFFSEQ,PER_ORG,DEPTID,JOBCODE,POSITION_NBR,SUPERVISOR_ID,HR_STATUS,APPT_TYPE,MAIN_APPT_NUM_JPN,POSITION_OVERRIDE,POSN_CHANGE_RECORD,EMPL_STATUS,ACTION,ACTION_DT,ACTION_REASON,LOCATION,TAX_LOCATION_CD,JOB_ENTRY_DT,DEPT_ENTRY_DT,POSITION_ENTRY_DT,SHIFT,REG_TEMP,FULL_PART_TIME,COMPANY,PAYGROUP,BAS_GROUP_ID,ELIG_CONFIG1,ELIG_CONFIG2,ELIG_CONFIG3,ELIG_CONFIG4,ELIG_CONFIG5,ELIG_CONFIG6,ELIG_CONFIG7,ELIG_CONFIG8,ELIG_CONFIG9,BEN_STATUS,BAS_ACTION,COBRA_ACTION,EMPL_TYPE,HOLIDAY_SCHEDULE,STD_HOURS,STD_HRS_FREQUENCY,OFFICER_CD,EMPL_CLASS,SAL_ADMIN_PLAN,GRADE,GRADE_ENTRY_DT,STEP,STEP_ENTRY_DT,GL_PAY_TYPE,ACCT_CD,EARNS_DIST_TYPE,COMP_FREQUENCY,COMPRATE,CHANGE_AMT,CHANGE_PCT,ANNUAL_RT,MONTHLY_RT,DAILY_RT,HOURLY_RT,ANNL_BENEF_BASE_RT,SHIFT_RT,SHIFT_FACTOR,CURRENCY_CD,BUSINESS_UNIT,SETID_DEPT,SETID_JOBCODE,SETID_LOCATION,SETID_SALARY,SETID_EMPL_CLASS,REG_REGION,DIRECTLY_TIPPED,FLSA_STATUS,EEO_CLASS,FUNCTION_CD,TARIFF_GER,TARIFF_AREA_GER,PERFORM_GROUP_GER,LABOR_TYPE_GER,SPK_COMM_ID_GER,HOURLY_RT_FRA,ACCDNT_CD_FRA,VALUE_1_FRA,VALUE_2_FRA,VALUE_3_FRA,VALUE_4_FRA,VALUE_5_FRA,CTG_RATE,PAID_HOURS,PAID_FTE,PAID_HRS_FREQUENCY,UNION_FULL_PART,UNION_POS,MATRICULA_NBR,SOC_SEC_RISK_CODE,UNION_FEE_AMOUNT,UNION_FEE_START_DT,UNION_FEE_END_DT,EXEMPT_JOB_LBR,EXEMPT_HOURS_MONTH,WRKS_CNCL_FUNCTION,INTERCTR_WRKS_CNCL,CURRENCY_CD1,PAY_UNION_FEE,UNION_CD,BARG_UNIT,UNION_SENIORITY_DT,ENTRY_DATE,LABOR_AGREEMENT,EMPL_CTG,EMPL_CTG_L1,EMPL_CTG_L2,SETID_LBR_AGRMNT,WPP_STOP_FLAG,LABOR_FACILITY_ID,LBR_FAC_ENTRY_DT,LAYOFF_EXEMPT_FLAG,LAYOFF_EXEMPT_RSN,GP_PAYGROUP,GP_DFLT_ELIG_GRP,GP_ELIG_GRP,GP_DFLT_CURRTTYP,CUR_RT_TYPE,GP_DFLT_EXRTDT,GP_ASOF_DT_EXG_RT,ADDS_TO_FTE_ACTUAL,CLASS_INDC,ENCUMB_OVERRIDE,FICA_STATUS_EE,FTE,PRORATE_CNT_AMT,PAY_SYSTEM_FLG,BORDER_WALKER,LUMP_SUM_PAY,CONTRACT_NUM,JOB_INDICATOR,WRKS_CNCL_ROLE_CHE,BENEFIT_SYSTEM,WORK_DAY_HOURS,REPORTS_TO,FORCE_PUBLISH,JOB_DATA_SRC_CD,ESTABID,SUPV_LVL_ID,SETID_SUPV_LVL,ABSENCE_SYSTEM_CD,POI_TYPE,HIRE_DT,LAST_HIRE_DT,TERMINATION_DT,ASGN_START_DT,LST_ASGN_START_DT,ASGN_END_DT,LDW_OVR,LAST_DATE_WORKED,EXPECTED_RETURN_DT,EXPECTED_END_DATE,AUTO_END_FLG,LASTUPDDTTM,LASTUPDOPRID
K1GAS001,0,1/1/2004,0,EMP,K1GDPA,830005, , ,A,0,0,N,N,A,HIR,8/5/2004, ,K1GLCCA, ,1/1/2004,1/1/2004,,N,R,F,K1G,K1A, , , , , , , , , , ,A, , ,N, ,40,W,N, , , ,,0,, , ,N,W,2307.69,0,0,119999.88,9999.99,461.538,57.69225,0,0,0,USD,K1GE,K1USA,K1USA,K1USA, , ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,K1GPG2,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, ,K1GETA, , ,AM, ,1/1/2004,1/1/2004,,1/1/2004,1/1/2004,,N,,,,N,8/10/2018 5:47:25.000000 PM,SAMPLE
K1LB10,0,1/1/2004,0,EMP,K1GDPA,830005, , ,A,0,0,N,N,A,HIR,9/24/2004, ,K1GLCCA, ,1/1/2004,1/1/2004,,N,R,F,K1G,K1A, , , , , , , , , , ,A, , ,N, ,40,W,N, , , ,,0,, , ,N,M,10000,0,0,120000,10000,461.538,57.692308,0,0,0,USD,K1GE,K1USA,K1USA,K1USA, , ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,K1L10,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0, ,, ,K1GETA, , ,AM, ,1/1/2004,1/1/2004,,1/1/2004,1/1/2004,,N,,,,N,9/24/2004 6:03:24.000000 AM,SAMPLE
K0LA05,0,1/1/2000,0,EMP,11000,140020,19000056, ,A,0,0,Y,N,A,HIR,9/24/2004, ,KCY01, ,1/1/2000,1/1/2000,1/1/2000,N,R,F,KCY, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,004,1/1/2000,0,, , ,N,M,5000,0,0,60000,5000,230.769,28.846154,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0L05MTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0,19000210,, , , , ,AM, ,1/1/2000,1/1/2000,,1/1/2000,1/1/2000,,N,,,,N,9/24/2004 3:08:13.000000 PM,SAMPLE
KU0018,0,10/25/1981,0,EMP,55000,660010,19000050, ,A,0,0,N,N,A,HIR,4/27/2000, ,KUNJ00,KUAL00,10/25/1981,10/25/1981,10/25/1981,N,R,F,GBI,KU5,KU1, , , , , , , , , ,A,HIR, ,H,KU01,40,W,N, ,KU01,006,10/25/1981,0,, , ,N,B,2000,0,0,52000,4333.333,200,25,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , , ,N, , ,,, , , , , ,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA, ,N, ,P, ,BA,0,19000043,, ,KU001, , ,OT, ,10/25/1981,10/25/1981,,10/25/1981,10/25/1981,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
K0MTK004,0,1/1/2003,0,EMP,21200,310005, , ,A,0,0,N,N,A,HIR,4/2/2003, ,KUCA00,KUCA00,1/1/2003,1/1/2003,,N,R,F,GBI,KUX, , , , , , , , , , ,A, , ,H,KU01,40,W,N, ,KU01,003,1/1/2003,0,, , ,N,M,3225,0,0,38700,3225,148.846,18.605769,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,NA,N,N, ,P, ,BN,0, ,, , , , ,OT, ,1/1/2003,1/1/2003,,1/1/2003,1/1/2003,,N,,,,N,8/8/2006 10:09:58.000000 PM,SAMPLE
K0LC15,0,1/1/1992,0,EMP,11000,330010,19000056, ,A,0,0,Y,N,A,HIR,9/26/2004, ,KCY01, ,1/1/1992,1/1/1992,1/1/1992,N,R,F,KCY, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,006,1/1/1992,0,, , ,N,M,8000,0,0,96000,8000,369.231,46.153846,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0L15MTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0,19000210,, , , , ,AM, ,1/1/1992,1/1/1992,,1/1/1992,1/1/1992,,N,,,,N,9/26/2004 11:51:59.000000 PM,SAMPLE
K0LE10,0,1/2/1998,0,EMP,11000,850015,19000056, ,A,0,0,Y,N,A,HIR,9/26/2004, ,KCY01, ,1/2/1998,1/2/1998,1/2/1998,N,R,F,KCY, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,004,1/2/1998,0,, , ,N,M,3856.666667,0,0,46280,3856.667,178,22.25,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0L10MTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0,19000210,, , , , ,AM, ,1/2/1998,1/2/1998,,1/2/1998,1/2/1998,,N,,,,N,9/26/2004 11:04:06.000000 PM,SAMPLE
K1GAZ001,0,1/1/2004,0,EMP,K1GDPA,830005, , ,A,0,0,N,N,A,HIR,8/5/2004, ,K1GLCCA, ,1/1/2004,1/1/2004,,N,R,F,K1G,G1G, , , , , , , , , , ,A, , ,N, ,40,W,N, , , ,,0,, , ,N,M,10000,0,0,120000,10000,461.538,57.692308,0,0,0,USD,K1GE,K1USA,K1USA,K1USA, , ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , , ,N, ,,N, ,K1GPG2,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,OT,0, ,, ,K1GETA, , ,AM, ,1/1/2004,1/1/2004,,1/1/2004,1/1/2004,,N,,,,N,8/5/2004 7:36:39.000000 PM,SAMPLE
K0LB14,0,1/1/1997,0,EMP,11000,140040,19000056, ,A,0,0,Y,N,A,HIR,9/27/2004, ,KCY01, ,1/1/1997,1/1/1997,1/1/1997,N,R,F,KCY, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,006,1/1/1997,0,, , ,N,M,7500,0,0,90000,7500,346.154,43.269231,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0L14MTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0,19000210,, , , , ,AM, ,1/1/1997,1/1/1997,,1/1/1997,1/1/1997,,N,,,,N,9/27/2004 12:35:00.000000 AM,SAMPLE
K0G013,0,4/1/2000,0,EMP,20000,770045, , ,A,0,0,N,N,A,PAY,8/7/2001, ,KUNY00, ,5/1/1998,5/1/1998,,N,R,F,GBI, , , , , , , , , , , ,A, , , , ,40,W,N, ,K0G3, ,,0,, , ,N,M,2900,100,3.571,34800,2900,133.846,16.730769,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N, ,1,N,OT,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,5/1/1998,5/1/1998,,5/1/1998,5/1/1998,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
K0LD01,0,2/1/1999,0,EMP,11000,850015,19000056, ,A,0,0,Y,N,A,HIR,9/24/2004, ,KCY01, ,2/1/1999,2/1/1999,2/1/1999,N,R,F,KCY, , , , , , , , , , , ,A, , ,N,KU01,40,W,N, ,KU01,004,2/1/1999,0,, , ,N,M,2756,0,0,33072,2756,127.2,15.9,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, ,K0L01MTH,Y, ,Y, ,Y, ,N,C,N,N,1,N,GP,N,N, ,P, ,BN,0,19000210,, , , , ,AM, ,2/1/1999,2/1/1999,,2/1/1999,2/1/1999,,N,,,,N,9/24/2004 7:16:28.000000 AM,SAMPLE
KDG061,0,1/1/2002,0,EMP,10000,750000, ,KDG064,A,0,0,N,N,A,DTA,10/11/2002, ,KD912, ,10/1/1999,11/1/1999,,N,R,F,KD1, , , , , , , , , , , ,A, , ,N,DBY,40,W,N, ,KD01, ,,0,, , ,N,M,1508.31,0,0,18099.72,1508.31,69.614,8.701788,0,0,0,EUR,DEU01,DEU01,DEU01,DEU01,DEU01, ,DEU,N,N,N, ,01,M15,T3, , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,DEM,N, , ,,11/1/1999,KD01,002, , ,DEU,N, ,,N, ,KDG02,Y, ,Y, ,Y, ,N,C,N,N,1.07,N,GP,N,N, ,P, ,OT,0, ,, , , , ,AM, ,1/1/1992,1/1/1992,,1/1/1992,1/1/1992,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
KF0012,0,6/3/1987,0,EMP,14000,670075, ,KF0011,A,0,0,N,N,A,HIR,7/2/2000,NPS,KFPA01, ,6/3/1987,6/3/1987,,N,R,F,KF1, , , , , , , , , , , ,A, , ,S, ,39,W,N, ,KF01,002,6/3/1987,0,, , ,N,W,2307.692308,0,0,120000,10000,461.538,59.171598,0,0,0,FRF,FRA01,FRA01,FRA01,FRA01,FRA01, ,FRA,N,N,N, , , , , , ,STA, , , , , , ,0,39,1,W, , ,0, ,0,,,N,0, , , ,N, , ,,6/3/1987,KF01,CAD, , ,FRA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N,N,1,N,OT,N,N,0001,P, ,BN,0, ,, ,KF001, , ,OT, ,6/3/1987,6/3/1987,,6/3/1987,6/3/1987,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
K0G013,0,5/1/1998,0,EMP,20000,770045, , ,A,0,0,N,N,A,HIR,8/7/2001, ,KUNY00, ,5/1/1998,5/1/1998,,N,R,F,GBI, , , , , , , , , , , ,A, , , , ,40,W,N, ,K0G3, ,,0,, , ,N,M,2800,0,0,33600,2800,129.231,16.153846,0,0,0,USD,GBIBU,SHARE,SHARE,SHARE,SHARE, ,USA,N,N,N, , , , , , , , , , , , , ,0,0,0, , , ,0, ,0,,,N,0, , ,USD,N, , ,,, , , , ,USA,N, ,,N, , ,Y, ,Y, ,Y, ,N,C,N, ,1,N,OT,N,N, ,P, ,BN,0, ,, ,KU001, , ,OT, ,5/1/1998,5/1/1998,,5/1/1998,5/1/1998,,N,,,,N,5/5/2004 12:00:00.000000 AM, 
